length(mm),swing(rad),up_down(rad),FR(N),FL(N),RR(N),RL(N),External_force(N),Time(sec)
837.27784,0,-0.39271334,56896.521,58578.449,25716.215,26782.797,0,10.000121
837.27784,0,-0.40213731,56175.783,57854.006,25315.033,26384.185,0,10.080121
837.27784,0,-0.41155644,56415.274,58108.306,25779.817,26862.289,0,10.160121
837.27784,0,-0.42096592,57033.653,58714.011,26544.263,27630.243,0,10.240121
837.27784,0,-0.43036092,56884.788,58541.416,26606.901,27681.926,0,10.320121
837.27784,0,-0.4397366,56074.04,57723.589,26102.161,27168.096,0,10.400121
837.27784,0,-0.44908816,55671.189,57336.361,26013.135,27083.71,0,10.480121
837.27784,0,-0.45841075,56077.075,57736.494,26613.521,27690.575,0,10.560121
837.27784,0,-0.46769955,56428.723,58077.495,27151.002,28228.293,0,10.640121
837.27784,0,-0.47694975,56043.233,57675.36,26999.836,28071.039,0,10.720121
837.27784,0,-0.4861565,55354.391,56984.103,26630.854,27700.029,0,10.800121
837.27784,0,-0.495315,55225.88,56858.654,26784.819,27854.269,0,10.880121
837.27784,0,-0.50442041,55617.662,57250.77,27378.028,28458.001,0,10.960121
837.27784,0,-0.5134679,55736.037,57345.502,27689.687,28760.44,0,11.040121
837.27784,0,-0.52245266,55223.123,56836.227,27458.492,28528.353,0,11.120121
837.27784,0,-0.53136985,54733.197,56326.902,27262.831,28329.028,0,11.200121
837.27784,0,-0.54021465,54783.268,56374.745,27565.681,28635.894,0,11.280121
837.27784,0,-0.54898224,55081.8,56671.041,28070.954,29144.445,0,11.360121
837.27784,0,-0.55766778,54985.17,56565.723,28204.509,29277.763,0,11.440121
837.27784,0,-0.56626647,54493.492,56069.417,27983.226,29054.121,0,11.520121
837.27784,0,-0.57477345,54161.802,55735.922,27942.52,29008.462,0,11.600121
837.27784,0,-0.58318393,54295.699,55863.304,28311.005,29382.508,0,11.680121
837.27784,0,-0.59149306,54485.386,56048.401,28698.227,29771.983,0,11.760121
837.27784,0,-0.59969602,54267.773,55820.74,28732.358,29799.726,0,11.840121
837.27784,0,-0.60778799,53801.915,55349.154,28547.777,29614.819,0,11.920121
837.27784,0,-0.61576413,53611.761,55144.521,28611.506,29675.794,0,12.000121
837.27784,0,-0.62361964,53784.159,55321.936,28999.001,30070.348,0,12.080121
837.27784,0,-0.63134967,53892.488,55430.382,29302.651,30376.507,0,12.160121
837.27784,0,-0.63894941,53594.117,55124.527,29265.078,30333.911,0,12.240121
837.27784,0,-0.64641403,53170.006,54683.767,29111.351,30176.41,0,12.320121
837.27784,0,-0.6537387,53081.186,54596.246,29248.574,30311.573,0,12.400121
837.27784,0,-0.6609186,53279.758,54794.402,29641.785,30714.196,0,12.480121
837.27784,0,-0.66794891,53309.692,54813.645,29874.832,30947.852,0,12.560121
837.27784,0,-0.67482478,52972.428,54467.215,29776.618,30835.82,0,12.640121
837.27784,0,-0.68154142,52609.311,54096.984,29662.563,30720.693,0,12.720121
837.27784,0,-0.68809397,52597.696,54080.787,29858.868,30915.164,0,12.800121
837.27784,0,-0.69447763,52804.627,54294.015,30223.217,31295.435,0,12.880121
837.27784,0,-0.70068757,52758.168,54234.973,30381.863,31452.545,0,12.960121
837.27784,0,-0.70671895,52384.358,53864.849,30243.954,31307.891,0,13.040121
837.27784,0,-0.71256696,52110.738,53570.07,30165.223,31223.847,0,13.120121
837.27784,0,-0.71822676,52172.938,53636.891,30407.009,31466.17,0,13.200121
837.27784,0,-0.72369354,52352.598,53813.322,30748.378,31813.805,0,13.280121
837.27784,0,-0.72896247,52260.652,53715.106,30817.619,31878.273,0,13.360121
837.27784,0,-0.73402872,51887.553,53343.151,30657.646,31716.028,0,13.440121
837.27784,0,-0.73888746,51679.348,53120.487,30635.491,31689.349,0,13.520121
837.27784,0,-0.74353388,51813.664,53258.995,30889.87,31954.643,0,13.600121
837.27784,0,-0.74796314,51967.777,53418.406,31179.447,32242.603,0,13.680121
837.27784,0,-0.75217043,51810.289,53248.002,31185.831,32245.53,0,13.760121
837.27784,0,-0.75615091,51475.396,52903.559,31005.84,32061.097,0,13.840121
837.27784,0,-0.75989975,51341.268,52773.223,31018.925,32074.307,0,13.920121
837.27784,0,-0.76341215,51525.17,52951.316,31306.508,32358.091,0,14.000121
837.27784,0,-0.76668326,51653.013,53081.463,31530.022,32590.516,0,14.080121
837.27784,0,-0.76970826,51454.258,52880.717,31446.444,32510.824,0,14.160121
837.27784,0,-0.77248233,51142.649,52557.583,31274.281,32323.313,0,14.240121
837.27784,0,-0.77500064,51112.413,52523.968,31320.583,32372.833,0,14.320121
837.27784,0,-0.77725837,51324.011,52738.756,31606.187,32665.784,0,14.400121
837.27784,0,-0.77925069,51410.491,52825.355,31759.075,32818.22,0,14.480121
837.27784,0,-0.78097278,51181.736,52597.44,31609.385,32664.598,0,14.560121
837.27784,0,-0.7824198,50933.347,52336.206,31441.319,32488.68,0,14.640121
837.27784,0,-0.78358694,50979.365,52383.938,31544.225,32594.242,0,14.720121
837.27784,0,-0.78446937,51225.132,52636.332,31798.767,32855.556,0,14.800121
837.27784,0,-0.78506226,51271.101,52679.173,31860.802,32918.025,0,14.880121
837.27784,0,-0.78536079,51016.983,52417.735,31661.434,32712.351,0,14.960121
837.27784,-7.57E-05,-0.78539816,51389.131,53079.669,30817.761,32059.283,0,15.040121
837.27784,-0.000674508,-0.78539816,50847.584,52776.076,31416.027,32868.382,0,15.120121
837.27784,-0.001862059,-0.78539816,51581.115,53560.964,31212.815,32690.891,0,15.200121
837.27784,-0.003628653,-0.78539816,51664.021,53455.149,31200.98,32537.552,0,15.280121
837.27784,-0.00596464,-0.78539816,51100.335,52789.396,31285.121,32548.342,0,15.360121
837.27784,-0.008860369,-0.78539816,51170.134,52961.822,30959.939,32293.924,0,15.440121
837.27784,-0.012306189,-0.78539816,51428.938,53222.247,31121.934,32459.479,0,15.520121
837.27784,-0.016292449,-0.78539816,51528.328,53238.587,31488.661,32762.165,0,15.600121
837.27784,-0.020809497,-0.78539816,51542.78,53217.316,31322.605,32564.933,0,15.680121
837.27784,-0.025847684,-0.78539816,51311.628,52954.975,31070.762,32291.646,0,15.760121
837.27784,-0.031397357,-0.78539816,51240.68,52836.203,31121.137,32311.784,0,15.840121
837.27784,-0.037448867,-0.78539816,51527.821,53097.359,31324.411,32486.465,0,15.920121
837.27784,-0.043992561,-0.78539816,51727.084,53238.529,31466.99,32586.914,0,16.000121
837.27784,-0.05101879,-0.78539816,51580.495,53022.04,31370.069,32438.627,0,16.080121
837.27784,-0.058517901,-0.78539816,51405.526,52794.209,31181.875,32210.825,0,16.160121
837.27784,-0.066480245,-0.78539816,51451.844,52793.224,31226.282,32214.685,0,16.240121
837.27784,-0.07489617,-0.78539816,51697.139,52984.129,31457.02,32411.812,0,16.320121
837.27784,-0.083756025,-0.78539816,51833.258,53048.196,31559.266,32456.677,0,16.400121
837.27784,-0.093050159,-0.78539816,51703.609,52841.906,31424.579,32264.711,0,16.480121
837.27784,-0.10276892,-0.78539816,51554.3,52626.3,31304.629,32089.002,0,16.560121
837.27784,-0.11290266,-0.78539816,51673.125,52664.97,31408.46,32133.993,0,16.640121
837.27784,-0.12344173,-0.78539816,51906.265,52831.011,31621.6,32298.772,0,16.720121
837.27784,-0.13437647,-0.78539816,51988.596,52836.717,31683.806,32300.004,0,16.800121
837.27784,-0.14569723,-0.78539816,51852.268,52596.942,31551.442,32096.931,0,16.880121
837.27784,-0.15739437,-0.78539816,51751.54,52420.44,31477.249,31955.531,0,16.960121
837.27784,-0.16945823,-0.78539816,51899.362,52485.507,31607.624,32034.087,0,17.040121
837.27784,-0.18187916,-0.78539816,52117.684,52620.538,31806.115,32166.794,0,17.120121
837.27784,-0.19464752,-0.78539816,52152.632,52566.142,31837.903,32125.601,0,17.200121
837.27784,-0.20775364,-0.78539816,52012.068,52321.909,31717.112,31925.16,0,17.280121
837.27784,-0.22118788,-0.78539816,51957.551,52181.099,31679.432,31823.69,0,17.360121
837.27784,-0.23494059,-0.78539816,52124.941,52266.221,31849.161,31923.634,0,17.440121
837.27784,-0.24900211,-0.78539816,52321.992,52351.615,32030.277,32028.127,0,17.520121
837.27784,-0.2633628,-0.78539816,52319.537,52239.603,32038.041,31951.823,0,17.600121
837.27784,-0.27801301,-0.78539816,52189.449,51994.693,31932.488,31762.772,0,17.680121
837.27784,-0.29294308,-0.78539816,52178.955,51897.017,31943.556,31706.982,0,17.760121
837.27784,-0.30814336,-0.78539816,52357.629,51979.043,32135.201,31824.1,0,17.840121
837.27784,-0.3236042,-0.78539816,52514.995,52031.373,32293.514,31896.97,0,17.920121
837.27784,-0.33931596,-0.78539816,52474.602,51880.047,32271.719,31785.386,0,18.000121
837.27784,-0.35526897,-0.78539816,52354.015,51644.815,32190.579,31623.107,0,18.080121
837.27784,-0.37145359,-0.78539816,52391.815,51575.383,32262.187,31614.152,0,18.160121
837.27784,-0.38786017,-0.78539816,52576.682,51662.664,32457.097,31728.72,0,18.240121
837.27784,-0.40447906,-0.78539816,52693.739,51661.361,32584.514,31771.198,0,18.320121
837.27784,-0.4213006,-0.78539816,52610.722,51458.484,32560.243,31654.472,0,18.400121
837.27784,-0.43831515,-0.78539816,52480.492,51279.602,32476.282,31533.076,0,18.480121
837.27784,-0.45551305,-0.78539816,52501.103,51300.382,32532.34,31590.953,0,18.560121
837.27784,-0.47288465,-0.78539816,52658.568,51381.868,32732.551,31733.303,0,18.640121
837.27784,-0.49042031,-0.78539816,52734.549,51337.631,32842.476,31745.022,0,18.720121
837.27784,-0.50811036,-0.78539816,52637.533,51123.715,32798.412,31612.757,0,18.800121
837.27784,-0.52594517,-0.78539816,52548.66,50930.646,32777.898,31506.78,0,18.880121
